Node1,Node2
P63165,P29590
P63165,P19419
P63165,Q9UBT2
P63165,Q13263
P63165,Q12873
P63165,P06748
Q9UFF9,Q9NZN8
O60609,Q5T4W7
Q5U5U6,O75604
Q15459,Q9UNP9
Q6ZYL4,Q92759
Q9UKV8,P26196
Q9UKV8,Q9UPY3
Q9UKV8,Q15633
Q9UKV8,O94776
Q9UKV8,Q15910
Q9UKV8,O14980
Q9UKV8,Q08211
Q9UKV8,P11388
Q9UKV8,Q5S007
P26196,Q9NPI6
Q9UQE7,O60216
Q9UQE7,Q8WVM7
Q9UQE7,Q8N3U4
Q9UQE7,Q14683
O60216,Q8WVM7
O60216,Q8N3U4
O60216,Q14683
Q9Y294,P54198
Q9Y294,Q13112
Q9Y294,P62805
Q9Y294,P68431
Q9Y294,P84243
Q9Y294,P49736
P54198,Q9NVP2
Q9NVP2,Q13112
Q9NVP2,P68431
Q9NVP2,P84243
Q9NVP2,P49736
Q13112,P68431
P63000,Q13153
P63000,Q9Y2A7
P63000,Q8WUW1
P63000,Q7L576
P63000,Q9Y6W5
P63000,Q14155
P62837,Q15843
P62837,Q13191
P62837,Q13489
P62837,Q96EP0
P09651,P38919
Q9UJ41,Q15276
P60900,P25789
P25789,Q16665
Q9NVI1,Q9BXW9
Q9BXW9,Q8TEX9
P67775,P30153
P67775,P31749
P67775,P23528
P30153,Q14155
P30153,Q96GD4
O75376,Q13127
O75376,P56524
O15355,P67809
O15355,P08621
O15355,P61247
O15355,P09012
P08621,Q16637
P08621,O14893
P08621,P14678
P08621,P62314
P08621,P62316
P08621,P62318
P08621,P62304
P08621,P62306
P08621,P62308
Q96I25,Q15637
Q96I25,O75533
O75533,P62136
O75533,Q9Y3B4
O75533,O60306
Q9BSI4,P54274
Q9BSI4,Q96AP0
Q9BSI4,Q15554
Q9BSI4,Q9NYB0
P54274,Q9NYB0
P54274,Q96AP0
Q9BXM7,O60260
Q9NUX5,Q96AP0
Q9NUX5,Q15554
Q9NUX5,Q9NYB0
Q9NUX5,Q2NKJ3
Q9NUX5,Q9H668
Q96AP0,Q15554
Q96AP0,O14746
Q96AP0,Q9NYB0
Q6P2Q9,Q7KZF4
Q6P2Q9,O75643
Q6UWZ7,Q96RL1
Q13257,Q12834
Q13257,P30260
Q13257,Q9UJX5
Q12834,Q9UJX5
Q12834,P30260
Q9Y5N6,O43929
Q9Y5N6,O43913
Q9Y5N6,Q13416
Q9Y5N6,Q9H211
Q13416,O43929
Q13416,O43913
Q13416,Q13415
Q13416,Q9UBD5
Q13415,Q9UBD5
Q13415,O43913
Q13415,O43929
P53350,O96017
P53350,Q9H0H5
P53350,Q71F23
P53350,O14965
P53350,P54132
P53350,Q9Y297
P53350,P60484
P31749,Q14643
P31749,Q9UNE7
P31749,P10636
P31749,Q05195
P31749,Q86V81
P31749,Q12778
P31749,P26358
P31749,Q9BPZ7
P31749,Q6ZVD8
P31749,Q14457
Q15796,Q9HAU4
P84022,P17844
P84022,Q9NRR4
P84022,Q96PU5
Q16665,O43524
Q16665,P46531
Q16665,P40337
Q16665,Q9GZT9
Q16665,P27540
Q16665,P46937
O95999,Q9BXL7
O95999,Q9UDY8
O95999,Q9Y297
Q9UNE7,P10636
Q9UNE7,P11142
Q9UNE7,Q5S007
P10636,Q13501
P60842,Q53EL6
P60842,Q04637
P60842,P49450
P60842,P11940
P60842,Q99814
Q96EB6,P29474
Q96EB6,Q8N163
Q96EB6,Q12778
Q96EB6,O43463
Q96EB6,O14640
Q96EB6,P68400
Q96EB6,O14641
Q96EB6,Q03164
P46934,Q9HAU4
Q92841,Q9NQT5
Q92841,Q9NQT4
Q92841,P49450
Q92841,Q8IU60
Q92841,Q9NRR4
Q92841,Q9NPI6
P55265,Q92900
Q92900,Q9HAU5
Q92900,Q9BZI7
Q92900,O15234
Q92900,P06730
Q92900,Q09161
Q92900,P11940
Q92900,P61326
Q92900,Q9Y5S9
Q92900,P38919
O75581,O94907
O75581,O15169
O60563,O94992
O60563,P49336
O60563,O60885
O60563,Q6P1J9
O60563,Q8N7H5
O60563,Q6PD62
Q9Y676,P52815
Q9Y676,Q7Z7H8
Q9Y676,Q9BZE1
Q9Y676,Q9BRJ2
Q9Y676,P82664
Q9Y676,Q92552
Q96L91,Q9Y265
P46531,Q92585
P46531,Q06330
Q92585,Q06330
Q96RL1,Q14676
Q9Y265,P49450
Q9Y265,Q8NCD3
Q9UJU2,P11473
Q15233,Q8WXF1
Q16236,Q14145
P07910,Q12906
Q12906,P22626
Q12906,P14866
P61088,Q13404
P61088,Q96FW1
P06730,Q04637
P06730,P62753
P06730,P11940
P06730,Q09161
Q04637,P11940
O75496,Q9H211
Q9H211,O14777
Q9H211,Q9BZD4
Q13153,P60953
Q13153,P63167
Q13153,P62424
Q13153,P46776
Q13153,Q13243
Q13153,Q01130
Q13153,P60228
P60953,P46940
P60953,Q14155
P61586,P46527
P55884,O75821
P55884,Q7L2H7
P55884,O00303
P55884,O15372
P55884,Q9UBQ5
P55884,Q9Y262
P55884,P60228
O75821,Q13347
Q9BZI7,Q9HAU5
Q9BZI7,P38919
Q9BZI7,P61326
Q9BZI7,O15234
Q9BZI7,Q9H1J1
Q9HAU5,Q9H1J1
Q8IU60,Q9NPI6
Q8IU60,Q9NPJ4
Q9NPI6,Q6P2E9
Q9NPI6,Q96F86
Q9NPI6,Q9NPJ4
Q16637,P14678
Q16637,Q9UHI6
Q16637,O14893
Q16637,Q9BUR4
Q16637,O14744
Q16637,Q9H0D6
P14678,Q8WXD5
Q15831,Q9Y376
Q15831,Q7RTN6
Q9Y376,Q7RTN6
P25205,P49736
P25205,P68431
P49736,P62805
P49736,P68431
P49736,Q14566
P49736,P49450
P49736,Q8NCD3
Q92769,P17542
Q92769,Q15022
Q92769,Q13127
O14497,P11388
P11940,Q09161
Q9NRR4,Q8WYQ5
Q9NRR4,Q15797
Q9NRR4,P17844
P54132,Q9H9A7
P54132,Q9UQ84
P54132,P42677
Q9H9A7,Q13472
Q07817,Q9C000
Q07817,P21796
Q07817,O00429
Q07817,Q14790
P13569,O14745
P13010,P49450
P13010,P68431
Q9UPY3,Q15633
Q9UPY3,O14980
O60934,Q14676
O60934,P49959
O60934,Q15554
O60934,Q13428
Q14676,P16104
P16104,P49959
P16104,Q92878
P16104,Q9UIG0
P16104,O00213
Q14790,P10451
P06241,Q9H5V8
Q15910,Q15022
Q15910,O14980
Q15910,O75530
P38919,P61326
P38919,Q9Y5S9
P38919,O15234
P38919,Q16629
P38919,Q9HCG8
P61326,Q9Y5S9
P61326,O15234
P61326,Q9BRP8
Q9Y5S9,O15234
P07947,Q9H5V8
P49959,Q15554
P49959,Q92878
P17612,P31323
Q15554,Q9NYB0
Q15554,Q92878
P43246,P52701
P52298,Q09161
O43463,Q9H9B1
O43463,Q96KQ7
O43463,Q15047
O43463,Q14191
Q9UBT2,Q9UBE0
Q969G3,Q96GM5
Q969G3,O14746
P06756,P18564
O00268,Q15542
Q01196,Q13951
Q01196,P17542
Q13951,Q93034
Q13951,Q15369
P40337,Q13617
P40337,Q15369
P40337,Q15370
P40337,P14866
O14965,Q9Y297
O14965,Q9NQS7
O14965,O15392
O14965,O75330
O14965,Q96R06
P49917,Q13426
Q13426,Q9H9Q4
P63208,Q8N3Y1
P63208,Q9UKT8
P63208,Q9Y297
P63208,Q86XK2
P63208,Q13309
P63208,Q13503
P63208,Q9UKT7
P63208,P41002
P63208,Q5XUX0
Q8N3Y1,P40227
Q8N3Y1,P61758
Q8N3Y1,Q9H0W5
Q8N3Y1,O75147
Q8N3Y1,Q14999
Q8N3Y1,Q13617
Q8N3Y1,Q99832
Q8N3Y1,P78371
Q8N3Y1,P49368
P24863,P49336
P24863,Q9BTT4
P49336,O95402
P49336,Q96RN5
P49336,Q71SY5
P49336,Q93074
P49336,Q9UHV7
P49336,Q9ULK4
P49336,Q9Y2X0
P49336,O75448
P49336,Q9NVC6
P49336,O60885
P49336,O60244
Q92466,Q16531
Q92466,Q13619
Q16531,Q13620
Q16531,Q13619
Q16531,Q9H9F9
Q16531,Q9ULG1
Q16531,Q96SW2
Q13501,O75385
Q13501,P42858
O15392,Q96GD4
O15392,Q53HL2
Q96GD4,Q9NQS7
Q96GD4,Q53HL2
Q96GD4,Q15003
Q15019,Q16181
Q9HAU4,O15105
Q9HAU4,Q15797
Q9Y2A7,Q7L576
Q9Y2A7,Q9Y6W5
Q7L576,Q9Y6W5
Q9UKL0,O60341
Q9UKL0,P17542
Q9UKL0,Q13127
Q9UKL0,Q96BD5
O60341,P17542
O60341,P68431
O60341,P40763
O60341,Q96BD5
O60341,Q96KQ7
O60341,Q9H0D6
O60341,O95782
O60341,Q08211
O60341,P23246
O60341,O95347
O60341,P84103
Q53HL2,Q9NQS7
Q53HL2,Q562F6
Q8N3U4,Q14683
Q99801,P11387
Q99801,Q96KQ7
Q99801,Q9H9B1
Q99801,P30876
Q99801,Q99496
Q99801,Q15717
P62158,Q9UQM7
P62158,Q13557
Q9BSQ5,O00522
P17542,Q86U70
P17542,Q14839
P17542,Q12873
P17542,Q16576
Q9UHI6,Q9BUR4
Q13094,Q08881
Q13094,O15117
Q9Y297,Q13127
Q9Y297,P49757
Q96P20,Q9ULZ3
Q96FW1,Q13404
Q12879,P78352
Q12879,Q07954
P78352,Q07954
P60228,Q9Y262
P60228,Q9UBQ5
P60228,O15371
P60228,Q99613
P60228,Q14152
P60228,O15372
P60228,O00303
P60228,Q7L2H7
P60228,O75822
Q9Y262,Q9UBQ5
Q9Y262,Q14152
Q9Y262,Q7L2H7
Q9Y262,Q99613
Q9Y262,O00303
